id,country,country_slug,institutions_resources,safety_frameworks,safety_outcomes,ul_safety_index,transport_injuries,transport_injuries_rating,falls,falls_rating,drowning,drowning_rating,fires_heat_hot_substances,fires_heat_hot_substances_rating,poisonings,poisonings_rating,exposure_to_mechanical_forces,exposure_to_mechanical_forces_rating,foreign_body,foreign_body_rating,unintentional_injuries,other_unintentional_injuries,other_unintentional_injuries_rating,exposure_to_forces_of_nature_disaster,exposure_to_forces_of_nature_disaster_rating,gdp_per_capita,gdp_per_capita_rating,network_readiness_rating,government_effectiveness_rating,education_rating,consumer_protection_survey_rating,ul_labor_rights_index_rating,un_region,un_sub_region,un_development_status,who_region,population,population_decile,population_under_15,youth_population_group,population_over_65,older_population_group,gdp,gdp_decile,iso_abbreviation,iso_membership,iec_membership,government_effectiveness,education,network_readiness,ul_standards_index,ul_standards_index_rating,consumer_protection_survey,ul_labor_rights_index
1,Afghanistan,Afghanistan,19.0883318,48.0795238,46.4030808,34.92140025,2597.76584,28.45073796,831.8815464,50.75356994,1045.018781,0,286.1044756,46.52427014,141.5772786,63.6021886,447.0774644,35.13398504,53.67289355,97.21019572,6495.524743,1069.883022,0,22.5434415,95.9527802,661.969562,16.54868281,NULL,17.80821918,22.90809328,71.42857138,32.81,Asia,Southern Asia,Least Developed,Eastern Mediterrainian,32247000,2,0.45,40-45%,0.02,1-4%,20038215159,6,AFG,Member body,Affiliate Country,-1.43,0.365,NULL,6,40,0.818181818,32.81
2,Albania,Albania,46.5860299,44.615,82.8714868,55.63916149,564.9972171,90.62942234,775.9649158,54.28908628,169.1526632,85.27594906,42.387168,95.3439417,41.00448121,89.79046287,295.2977611,59.54270896,18.52894411,99.41716061,2215.542119,307.9050339,71.60921508,0.303934236,99.94543474,4458.073207,47.64097026,39.40217391,42.92237443,56.37860082,,49.23,Europe,Southern Europe,Developed,European,2892000,7,0.19,15-19%,0.12,10-14%,13211513726,7,ALB,Correspondent member,Associate Member,-0.33,0.609,3.75,6,40,,49.23
3,Algeria,Algeria,40.4803283,46.4216667,89.8991554,55.28069005,1180.474503,71.8030948,148.8943779,93.9377223,218.8364244,80.43864596,117.4153736,80.31483937,45.64123312,88.58309334,43.72395285,100,13.84074318,99.7115696,1833.217056,62.16009201,94.70384862,2.230355462,99.5995847,5504.181309,51.0773201,13.04347826,36.75799087,61.04252401,,19.51,Africa,Northern Africa,Developing,Africa,39948000,2,0.28,25-29%,0.06,5-9%,2.13518E+11,3,DZA,Member body,Full Member,-0.6,0.643,2.78,11,73.33333333,,19.51
4,Andorra,Andorra,78.216777,9.135,92.7819355,40.47224531,278.1710539,99.40291149,794.4330965,53.12137367,22.60904943,99.54370699,32.84717309,97.25492382,6.545712101,98.76322409,85.23335194,93.32459189,30.53382463,98.66327978,1309.771444,59.39818262,94.96340751,0,100,42806.52255,84.5159754,,85.38812785,64.74622771,,18.27,Europe,Southern Europe,Developed,European,78000,10,0.15,15-19%,0.18,15-19%,3249100675,9,AND,Non Member,Non Member,1.53,0.67,,0,0,,18.27
5,Angola,Angola,36.6653074,27.8833333,57.6515557,38.91679057,1873.397982,50.60782948,350.0497097,81.2190024,845.0630538,19.46806031,495.5552723,4.568615846,148.5462509,61.78752934,431.8114143,37.58902213,348.4863023,78.69654399,4658.114277,164.1224109,85.12162743,1.081881233,99.80577007,5295.210896,50.44634211,,21.68949772,37.8600823,,29.1,Africa,Middle Africa,Least Developed,Africa,25000000,3,0.47,45%+,0.02,1-4%,1.38357E+11,3,AGO,Correspondent member,Affiliate Country,-1.26,0.474,,4,26.66666667,,29.1
6,Antigua and Barbuda,Antigua and Barbuda,64.3940499,58.0016667,89.5568823,69.41634238,719.3688042,85.90747706,200.3753706,90.68266403,207.2692443,81.56484806,71.88486396,89.43517862,16.11159929,96.27235097,198.2927922,75.14273619,104.6906451,94.00639001,1593.676078,70.62477793,93.90835383,5.057980753,99.09194167,13342.085,65.51148052,,61.41552511,66.25514403,,82.67,Americas,Caribbean,Developing,Americas,90000,10,0.24,20-24%,0.08,5-9%,1220976011,10,ATG,Subscriber member,Affiliate Country,0.48,0.681,,5,33.33333333,,82.67
7,Argentina,Argentina,55.7206192,91.8422222,86.2177945,76.12928345,852.8305655,81.82512522,347.0991122,81.40556381,126.9528004,89.38460594,81.10684242,87.58789923,37.5433761,90.69170428,271.6309315,63.3487324,155.8189714,90.79564043,1969.617889,90.28758244,92.06048156,6.347706921,98.86039737,14623.47869,67.00646858,31.79347826,43.83561644,80.24691358,100,88.86,Americas,South America,Developing,Americas,42426000,2,0.24,20-24%,0.11,10-14%,5.3766E+11,2,ARG,Member body,Full Member,-0.29,0.783,3.47,13,86.66666667,1,88.86
8,Armenia,Armenia,51.0898215,43.6865079,85.751691,57.62905122,855.5652595,81.74147592,567.0398417,67.49907418,219.0746966,80.41544734,98.40209341,84.12344083,26.22968036,93.63769141,155.6704213,81.99712885,44.04898303,97.81455673,2136.367213,170.3215017,84.53904888,0.014735896,99.99735447,3486.145636,43.63195006,39.67391304,52.05479452,68.99862826,57.14285708,27.25,Asia,Western Asia,Developing,European,3017106,7,0.19,15-19%,0.11,10-14%,11644438423,7,ARM,Member body,Affiliate Country,0.07,0.701,3.76,7,46.66666667,0.727272727,27.25
9,Australia,Australia,89.952941,96.08,93.6603912,93.19689491,483.721891,93.11548632,398.7442534,78.1401267,60.40566137,95.86375877,34.26695475,96.97052353,12.86007204,97.11902015,131.795989,85.83653829,43.05164808,97.87718723,1191.70605,26.85440931,98.02180828,0.005170585,99.99907173,67473.0338,91.93405915,80.43478261,87.44292237,100,100,88.24,Oceania,Australia and New Zealand,Developed,Western Pacific,23888000,3,0.19,15-19%,0.15,15-19%,1.45468E+12,1,AUS,Member body,Full Member,1.62,0.927,5.26,15,100,1,88.24
10,Austria,Austria,83.8587506,100,90.9013768,91.34952279,412.3017618,95.3000978,896.178622,46.68817188,30.85513653,98.74085266,25.94965161,98.63658496,7.395253325,98.54201101,132.0887262,85.78946124,40.56396338,98.03340851,1589.625729,44.27863009,96.38431376,0.013983699,99.99748951,50513.38542,87.21475933,80.16304348,86.30136986,81.7558299,,100,Europe,Western Europe,Developed,European,8615955,5,0.14,10-14%,0.18,15-19%,4.36888E+11,2,AUT,Member body,Full Member,1.57,0.794,5.25,15,100,,100
